Mp_Mjup,Mdot_Mjup_yr,alpha,kappaR,Rin_Rjup,Rout_AU,d_pc,wavelength,kappa_mm,Tb_avg_K,F_nu_muJy
1.0,3e-06,0.01,10.0,1.0,0.12,140,3mm,0.0041,104.2,5.45
1.0,3e-06,0.01,10.0,1.0,0.12,140,10mm,0.0005,13.6,0.06
1.0,3e-06,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,193.9,126.32
1.0,3e-06,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,127.8,35.58
1.0,3e-06,0.03,1.0,1.0,0.12,140,3mm,0.0041,37.5,1.96
1.0,3e-06,0.03,1.0,1.0,0.12,140,10mm,0.0005,4.8,0.02
1.0,3e-06,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,237.2,154.51
1.0,3e-06,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,141.6,39.42
1.0,3e-06,0.03,10.0,1.0,0.12,140,3mm,0.0041,36.6,1.92
1.0,3e-06,0.03,10.0,1.0,0.12,140,10mm,0.0005,4.7,0.02
1.0,3e-06,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,84.7,55.21
1.0,3e-06,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,46.0,12.81
1.0,3e-06,0.1,1.0,1.0,0.12,140,3mm,0.0041,11.3,0.59
1.0,3e-06,0.1,1.0,1.0,0.12,140,10mm,0.0005,1.5,0.01
1.0,3e-06,0.1,10.0,1.0,0.12,140,0.85mm,0.0354,91.6,59.66
1.0,3e-06,0.1,10.0,1.0,0.12,140,1.3mm,0.0172,46.3,12.89
1.0,3e-06,0.1,10.0,1.0,0.12,140,3mm,0.0041,11.1,0.58
1.0,3e-06,0.1,10.0,1.0,0.12,140,10mm,0.0005,1.4,0.01
1.0,1e-05,0.01,1.0,1.0,0.12,140,0.85mm,0.0354,310.6,202.32
1.0,1e-05,0.01,1.0,1.0,0.12,140,1.3mm,0.0172,325.8,90.72
1.0,1e-05,0.01,1.0,1.0,0.12,140,3mm,0.0041,289.1,15.12
1.0,1e-05,0.01,1.0,1.0,0.12,140,10mm,0.0005,47.5,0.22
1.0,1e-05,0.01,10.0,1.0,0.12,140,0.85mm,0.0354,398.5,259.59
1.0,1e-05,0.01,10.0,1.0,0.12,140,1.3mm,0.0172,456.7,127.20
1.0,1e-05,0.01,10.0,1.0,0.12,140,3mm,0.0041,307.2,16.07
1.0,1e-05,0.01,10.0,1.0,0.12,140,10mm,0.0005,44.2,0.21
1.0,1e-05,0.03,1.0,1.0,0.12,140,0.85mm,0.0354,310.6,202.32
1.0,1e-05,0.03,1.0,1.0,0.12,140,1.3mm,0.0172,297.0,82.72
1.0,1e-05,0.03,1.0,1.0,0.12,140,3mm,0.0041,119.3,6.24
1.0,1e-05,0.03,1.0,1.0,0.12,140,10mm,0.0005,16.0,0.08
1.0,1e-05,0.03,10.0,1.0,0.12,140,0.85mm,0.0354,398.5,259.59
1.0,1e-05,0.03,10.0,1.0,0.12,140,1.3mm,0.0172,371.9,103.58
1.0,1e-05,0.03,10.0,1.0,0.12,140,3mm,0.0041,117.8,6.16
1.0,1e-05,0.03,10.0,1.0,0.12,140,10mm,0.0005,15.3,0.07
1.0,1e-05,0.1,1.0,1.0,0.12,140,0.85mm,0.0354,221.2,144.10
1.0,1e-05,0.1,1.0,1.0,0.12,140,1.3mm,0.0172,137.3,38.25
1.0,1e-05,0.1,1.0,1.0,0.12,140,3mm,0.0041,37.5,1.96
1.0,1e-05,0.1,1.0,1.0,0.12,140,10mm,0.0005,4.8,0.02
